Language,Complexity_I(M;W),Accuracy_I(U;W)
1,1.2363963818832149,1.0207023773189317
2,1.7387098734864852,1.37263372452657
3,1.8137713533478401,1.376294421776135
4,1.6004241972659197,1.3332605302157474
5,2.018785974870397,1.6402638550226218
6,1.7542705677623671,1.4263155079163976
7,2.366430238968386,2.0038581138196867
8,1.5138124614056059,1.2694515091969247
9,1.3894635076515423,1.1687311227118231
10,1.512421524013596,1.2130790874182675
11,1.5639811698197457,1.3273003920629927
12,1.5174791626253121,1.3181379690497992
13,1.4810885116056074,1.1961903467079271
14,1.1026379562326267,0.9165366464336866
15,1.5931279002740066,1.3224264225706475
16,1.4362917347887119,1.2210085718327892
17,2.4195450853073033,2.0194312608677545
18,0.9727527770423078,0.7050303553235082
19,2.339881361512312,1.957142198151117
20,1.938899543391975,1.6211114183850641
21,1.4375893302916998,1.2331294088975717
22,1.4251785624954694,1.1951637439116474
23,0.9158703418950206,0.7720249846053814
24,2.3351455107680983,1.9790572340047796
25,1.8646260110741495,1.5929052697455663
26,1.6606782094446044,1.3987660523624432
27,2.3829301145842967,1.938666101785459
28,1.717175360327667,1.4166200911517293
29,1.7395865175896836,1.5298354341699945
30,1.5851357806465838,1.406811826394923
31,0.4673609837704893,0.36857794302665015
32,1.2616820390809016,0.992807140359774
33,2.1734331862315592,1.604315251228379
34,1.811741041868427,1.4561159757312874
35,1.8743185570522796,1.6013550451081153
36,1.0820883171919058,0.9726122033563609
37,1.594552157504252,1.374234963786076
38,1.4772423645814625,0.939696759622026
39,1.693953261883784,1.4127659732492628
40,1.636410939412764,1.4033150466184101
41,1.7236693860263212,1.4892611494416859
42,1.5698937393292853,1.2603097244162123
43,1.537836157479285,1.262755681341791
44,1.5947410548841061,1.1563844692005105
45,2.2040633002314602,1.8845094812940275
46,2.189341077977783,1.8616297781161277
47,1.7991301264863087,1.4574332841413018
48,1.4510882049496088,1.2027957303666166
49,0.8779404130434121,0.6373882772535642
50,1.5877190036470856,1.3150511558780478
51,1.8634781806564584,1.4802234695768461
52,1.9804989556160124,1.6279505508165726
53,1.6653703703475797,1.057863660515715
54,1.6843140146409965,1.3735439086696808
55,1.5619102710287487,1.264870296350441
56,1.3304783604219343,1.0822009026702022
57,1.9659686162618315,1.6361439789730485
58,0.9715149741817276,0.7192637509085583
59,1.6144688967302292,1.2975616087983992
60,1.1760076123574037,0.9487800151823554
61,1.1858886948046807,0.8696182891789938
62,1.6711479087904462,1.248474903908691
63,1.2075243282757826,0.8575094991471885
64,1.608655843856314,1.2718012685099023
65,1.4786654098140257,1.2415696368259916
66,1.227601755025232,1.0676268640343975
67,2.338834039257959,1.8945417448262183
68,1.923633067870848,1.6036859095041038
69,1.5701108423527228,1.2586698616170198
70,1.547813301970964,1.2423009003919654
71,1.854294893680627,1.5466531335719147
72,1.7880397846328167,1.511001728649884
73,1.0639134858154908,0.8272381614514368
74,1.3900796320376938,1.2128012257909269
75,1.7672488715139265,1.5121069211917813
76,1.266634696602711,1.002268533758425
77,1.0911697485601635,0.8848643212350706
78,2.288086997648605,1.8749445046225397
79,1.8023689179258344,1.5803424325289903
80,1.8441539655650128,1.5119160946684935
81,1.695004158092797,1.4443697519075145
82,1.3992577407399804,1.1819590719135213
83,1.5433254680250768,1.1415265757374553
84,2.030758538787461,1.6365226179006216
85,1.6315522633181005,1.4209358053928656
86,2.1959233606202884,1.5284719030365856
87,1.4812416888070292,1.2404846906601974
88,1.8395530912269555,1.4691197400685103
89,1.7144885932047864,1.4415041390251853
90,1.5226597514994036,1.3118448593788383
91,2.2093906353805304,1.6305174350978733
92,1.9051491527670588,1.4434770804298325
93,1.7984928210625157,1.3699217886845176
94,1.7175950264581967,1.4921642551427299
95,1.7362942199958633,1.4613160474434406
96,1.5962932969774852,1.3591027180081756
97,1.039989983776493,0.7538365375847905
98,1.6374634569435595,1.3899280316369427
99,1.3957992673638973,1.186775906389021
100,1.341726781049254,1.1728066840503242
101,1.4871570652617891,1.2283328308208052
102,1.1972270308754844,0.9946171580046974
103,1.876552275105337,1.4169749229732214
104,1.2122903307480877,1.0875656877606656
105,0.856038265113656,0.6541774075568745
106,2.1719474518003086,1.8645608116539454
107,1.4455418058723037,1.2111445314648706
108,1.6366189327812546,1.4016033165708428
109,1.7329496147006223,1.4556640556232954
110,1.9733742921011819,1.7301615624657418
